Autonomía,Inicio,Fin,Partido
Andalucía,1982,1984,PSOE
Andalucía,1984,1990,PSOE
Andalucía,1990,2009,PSOE
Andalucía,2009,2013,PSOE
Andalucía,2013,2019,PSOE
Andalucía,2019,en el cargo,PP
Aragón,1983,1987,PSOE
Aragón,1987,1991,PAR
Aragón,1991,1993,PAR
Aragón,1993,1995,PSOE
Aragón,1995,1995,PSOE
Aragón,1995,1999,PP
Aragón,1999,2011,PSOE
Aragón,2011,2015,PP
Aragón,2015,2023,PSOE
Aragón,2023,en el cargo,PP
Asturias,1983,1991,PSOE
Asturias,1991,1993,PSOE
Asturias,1993,1995,PSOE
Asturias,1995,1999,PP
Asturias,1999,2011,PSOE
Asturias,2011,2012,FORO
Asturias,2012,2019,PSOE
Asturias,2019,en el cargo,PSOE
Canarias,1983,1987,PSOE
Canarias,1987,1988,CDS
Canarias,1988,1991,CDS
Canarias,1991,1993,PSOE
Canarias,1993,1999,CC
Canarias,1999,2003,CC
Canarias,2003,2007,CC
Canarias,2007,2015,CC
Canarias,2015,2019,CC
Canarias,2019,2023,PSOE
Canarias,2023,en el cargo,CC
Cantabria,1983,1984,Indep.1
Cantabria,1984,1987,AP
Cantabria,1987,1990,Indep. (AP)
Cantabria,1990,1991,PSOE
Cantabria,1991,1995,UPCA
Cantabria,1995,2003,PP
Cantabria,2003,2011,PRC
Cantabria,2011,2015,PP
Cantabria,2015,2023,PRC
Cantabria,2023,en el cargo,PP
Castilla y León,1983,1986,PSOE
Castilla y León,1986,1987,PSOE
Castilla y León,1987,1989,AP PP
Castilla y León,1989,1991,PP
Castilla y León,1991,2001,PP
Castilla y León,2001,2019,PP
Castilla y León,2019,en el cargo,PP
Castilla-La Mancha,1983,2004,PSOE
Castilla-La Mancha,2004,2011,PSOE
Castilla-La Mancha,2011,2015,PP
Castilla-La Mancha,2015,en el cargo,PSOE
Cataluña,1980,2003,CiU
Cataluña,2003,2006,PSOE
Cataluña,2006,2010,PSOE
Cataluña,2010,2016,CiU
Cataluña,2016,2017,JxSí
Cataluña,2018,2020,JxCat
Cataluña,2020,2024,ERC
Cataluña,2024,en el cargo,PSOE
Ceuta,1995,1996,PFC
Ceuta,1996,1999,PP
Ceuta,1999,2001,GIL
Ceuta,2001,en el cargo,PP
Extremadura,1983,2007,PSOE
Extremadura,2007,2011,PSOE
Extremadura,2011,2015,PP
Extremadura,2015,2023,PSOE
Extremadura,2023,en el cargo,PP
Galicia,1982,1987,AP
Galicia,1987,1990,PSOE
Galicia,1990,2005,PP
Galicia,2005,2009,PSOE
Galicia,2009,2022,PP
Galicia,2022,en el cargo,PP
Comunidad de Madrid,1983,1995,PSOE
Comunidad de Madrid,1995,2003,PP
Comunidad de Madrid,2003,2012,PP
Comunidad de Madrid,2012,2015,PP
Comunidad de Madrid,2015,2018,PP
Comunidad de Madrid,2018,2019,PP
Comunidad de Madrid,2019,en el cargo,PP
Comunidad Valenciana,1983,1995,PSOE
Comunidad Valenciana,1995,2002,PP
Comunidad Valenciana,2002,2003,PP
Comunidad Valenciana,2003,2011,PP
Comunidad Valenciana,2011,2015,PP
Comunidad Valenciana,2015,2023,PSOE
Comunidad Valenciana,2023,en el cargo,PP
Región de Murcia,1983,1984,PSOE
Región de Murcia,1984,1993,PSOE
Región de Murcia,1993,1995,PSOE
Región de Murcia,1995,2014,PP
Región de Murcia,2014,2015,PP
Región de Murcia,2015,2017,PP
Región de Murcia,2017,en el cargo,PP
La Rioja,1983,1987,PSOE
La Rioja,1987,1990,AP PP
La Rioja,1990,1995,PSOE
La Rioja,1995,2015,PP
La Rioja,2015,2019,PP
La Rioja,2019,2023,PSOE
La Rioja,2023,en el cargo,PP
Islas Baleares,1983,1995,PP
Islas Baleares,1983,1995,PP
Islas Baleares,1995,1996,PP
Islas Baleares,1996,1999,PP
Islas Baleares,1999,2003,PSOE
Islas Baleares,2003,2007,PP
Islas Baleares,2007,2011,PSOE
Islas Baleares,2011,2015,PP
Islas Baleares,2015,2023,PSOE
Islas Baleares,2023,en el cargo,PP
Melilla,1995,1998,PP
Melilla,1998,1999,PP
Melilla,1999,2000,CpM
Melilla,2000,2019,UPM PP
Melilla,2019,2023,Cs Indep.
Melilla,2023,en el cargo,PP
Navarra,1984,1991,PSOE
Navarra,1991,1995,UPN
Navarra,1995,1996,PSOE
Navarra,1996,2011,UPN
Navarra,2011,2015,UPN
Navarra,2015,2019,GBai
Navarra,2019,en el cargo,PSOE
País Vasco,1980,1985,PNV
País Vasco,1985,1999,PNV
País Vasco,1999,2009,PNV
País Vasco,2009,2012,PSOE
País Vasco,2012,2024,PNV
País Vasco,2024,en el cargo,PNV
