Lugar de condena;Nacionalidad;Periodo;Total
02 Albacete;Total;2023;2.124
02 Albacete;Total;2022;2.559
02 Albacete;Total;2021;2.320
02 Albacete;Total;2020;2.017
02 Albacete;Total;2019;2.486
02 Albacete;Total;2018;2.788
02 Albacete;Total;2017;2.900
02 Albacete;Total;2016;2.712
02 Albacete;Total;2015;2.385
02 Albacete;Total;2014;2.331
02 Albacete;Total;2013;2.279
03 Alicante/Alacant;Total;2023;20.074
03 Alicante/Alacant;Total;2022;21.164
03 Alicante/Alacant;Total;2021;19.878
03 Alicante/Alacant;Total;2020;16.627
03 Alicante/Alacant;Total;2019;22.300
03 Alicante/Alacant;Total;2018;20.666
03 Alicante/Alacant;Total;2017;18.674
03 Alicante/Alacant;Total;2016;16.509
03 Alicante/Alacant;Total;2015;13.483
03 Alicante/Alacant;Total;2014;13.688
03 Alicante/Alacant;Total;2013;12.909
04 Almería;Total;2023;7.280
04 Almería;Total;2022;7.547
04 Almería;Total;2021;6.746
04 Almería;Total;2020;5.464
04 Almería;Total;2019;6.812
04 Almería;Total;2018;7.234
04 Almería;Total;2017;6.900
04 Almería;Total;2016;6.203
04 Almería;Total;2015;4.944
04 Almería;Total;2014;4.764
04 Almería;Total;2013;4.766
01 Araba/Álava;Total;2023;3.783
01 Araba/Álava;Total;2022;3.691
01 Araba/Álava;Total;2021;3.657
01 Araba/Álava;Total;2020;2.555
01 Araba/Álava;Total;2019;3.091
01 Araba/Álava;Total;2018;3.515
01 Araba/Álava;Total;2017;3.234
01 Araba/Álava;Total;2016;2.939
01 Araba/Álava;Total;2015;1.918
01 Araba/Álava;Total;2014;1.889
01 Araba/Álava;Total;2013;1.963
33 Asturias;Total;2023;7.289
33 Asturias;Total;2022;8.963
33 Asturias;Total;2021;8.579
33 Asturias;Total;2020;6.570
33 Asturias;Total;2019;8.824
33 Asturias;Total;2018;9.032
33 Asturias;Total;2017;9.166
33 Asturias;Total;2016;8.656
33 Asturias;Total;2015;6.185
33 Asturias;Total;2014;6.196
33 Asturias;Total;2013;6.076
05 Ávila;Total;2023;959
05 Ávila;Total;2022;1.045
05 Ávila;Total;2021;888
05 Ávila;Total;2020;680
05 Ávila;Total;2019;943
05 Ávila;Total;2018;909
05 Ávila;Total;2017;794
05 Ávila;Total;2016;730
05 Ávila;Total;2015;745
05 Ávila;Total;2014;675
05 Ávila;Total;2013;725
06 Badajoz;Total;2023;4.325
06 Badajoz;Total;2022;5.034
06 Badajoz;Total;2021;4.879
06 Badajoz;Total;2020;3.655
06 Badajoz;Total;2019;4.262
06 Badajoz;Total;2018;4.554
06 Badajoz;Total;2017;4.848
06 Badajoz;Total;2016;4.726
06 Badajoz;Total;2015;3.803
06 Badajoz;Total;2014;4.018
06 Badajoz;Total;2013;3.843
07 Balears, Illes;Total;2023;13.434
07 Balears, Illes;Total;2022;12.756
07 Balears, Illes;Total;2021;12.818
07 Balears, Illes;Total;2020;8.875
07 Balears, Illes;Total;2019;11.735
07 Balears, Illes;Total;2018;11.285
07 Balears, Illes;Total;2017;11.216
07 Balears, Illes;Total;2016;10.237
07 Balears, Illes;Total;2015;8.887
07 Balears, Illes;Total;2014;9.176
07 Balears, Illes;Total;2013;8.918
08 Barcelona;Total;2023;51.974
08 Barcelona;Total;2022;52.174
08 Barcelona;Total;2021;48.812
08 Barcelona;Total;2020;39.085
08 Barcelona;Total;2019;53.536
08 Barcelona;Total;2018;49.976
08 Barcelona;Total;2017;48.501
08 Barcelona;Total;2016;44.226
08 Barcelona;Total;2015;32.103
08 Barcelona;Total;2014;28.767
