Provincias;Edad (grupos quinquenales);Espanoles/Extranjeros;Sexo;Ano;Total
02 Albacete;TOTAL EDADES;TOTAL;Ambos sexos;2022;385.727
02 Albacete;TOTAL EDADES;TOTAL;Ambos sexos;2021;386.464
02 Albacete;TOTAL EDADES;TOTAL;Ambos sexos;2020;388.270
02 Albacete;TOTAL EDADES;TOTAL;Ambos sexos;2019;388.167
02 Albacete;TOTAL EDADES;TOTAL;Ambos sexos;2018;388.786
02 Albacete;TOTAL EDADES;TOTAL;Ambos sexos;2017;390.032
02 Albacete;TOTAL EDADES;TOTAL;Ambos sexos;2016;392.118
02 Albacete;TOTAL EDADES;TOTAL;Ambos sexos;2015;394.580
02 Albacete;TOTAL EDADES;TOTAL;Ambos sexos;2014;396.987
02 Albacete;TOTAL EDADES;TOTAL;Ambos sexos;2013;400.007
02 Albacete;TOTAL EDADES;TOTAL;Ambos sexos;2012;402.837
02 Albacete;TOTAL EDADES;TOTAL;Ambos sexos;2011;402.318
02 Albacete;TOTAL EDADES;TOTAL;Ambos sexos;2010;401.682
02 Albacete;TOTAL EDADES;TOTAL;Ambos sexos;2009;400.891
02 Albacete;TOTAL EDADES;TOTAL;Ambos sexos;2008;397.493
02 Albacete;TOTAL EDADES;TOTAL;Ambos sexos;2007;392.110
02 Albacete;TOTAL EDADES;TOTAL;Ambos sexos;2006;387.658
02 Albacete;TOTAL EDADES;TOTAL;Ambos sexos;2005;384.640
02 Albacete;TOTAL EDADES;TOTAL;Ambos sexos;2004;379.448
02 Albacete;TOTAL EDADES;TOTAL;Ambos sexos;2003;376.556
02 Albacete;TOTAL EDADES;TOTAL;Ambos sexos;2002;371.787
02 Albacete;TOTAL EDADES;TOTAL;Ambos sexos;2001;367.283
02 Albacete;TOTAL EDADES;TOTAL;Ambos sexos;2000;363.263
02 Albacete;TOTAL EDADES;TOTAL;Ambos sexos;1999;361.021
02 Albacete;TOTAL EDADES;TOTAL;Ambos sexos;1998;358.597
02 Albacete;TOTAL EDADES;TOTAL;Mujeres;2022;192.764
02 Albacete;TOTAL EDADES;TOTAL;Mujeres;2021;193.259
02 Albacete;TOTAL EDADES;TOTAL;Mujeres;2020;194.189
02 Albacete;TOTAL EDADES;TOTAL;Mujeres;2019;194.256
02 Albacete;TOTAL EDADES;TOTAL;Mujeres;2018;194.628
02 Albacete;TOTAL EDADES;TOTAL;Mujeres;2017;195.289
02 Albacete;TOTAL EDADES;TOTAL;Mujeres;2016;196.277
02 Albacete;TOTAL EDADES;TOTAL;Mujeres;2015;197.566
02 Albacete;TOTAL EDADES;TOTAL;Mujeres;2014;198.757
02 Albacete;TOTAL EDADES;TOTAL;Mujeres;2013;199.991
02 Albacete;TOTAL EDADES;TOTAL;Mujeres;2012;201.197
