Año,Mesa,Comunidad,Provincia,Municipio,Religiosidad,Edad Media,Escolarizacion,Esperanza de Vida,Habitantes Municipio,Acceso a Internet,PIB per capita de Provincia,Criminalidad,Inmigracion,% de mujeres,Tasa de Pobreza,Tasa Desempleo,Gobierno Actual de Comunidad,Gobierno Actual de España,Tasa de Participacion,Votos Derecha,Votos Izquierda,Votos Centro Izquierda,Votos Centro Derecha,Votos Regionalista Izquierda,Votos Regionalista Derecha,Candidatura Ganadora
1996,B,01,04,003,,,,,,,,,,,,,,,,,,,,,,
1996,U,01,04,006,,,,,,,,,,,,,,,,,,,,,,
1996,B,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,U,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,B,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,U,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,A,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,B,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,B,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,A,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,B,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,U,01,04,015,,,,,,,,,,,,,,,,,,,,,,
1996,U,01,04,020,,,,,,,,,,,,,,,,,,,,,,
1996,B,01,04,024,,,,,,,,,,,,,,,,,,,,,,
1996,A,01,04,029,,,,,,,,,,,,,,,,,,,,,,
1996,A,01,04,029,,,,,,,,,,,,,,,,,,,,,,
1996,U,01,04,030,,,,,,,,,,,,,,,,,,,,,,
1996,C,01,04,035,,,,,,,,,,,,,,,,,,,,,,
1996,A,01,04,003,,,,,,,,,,,,,,,,,,,,,,
1996,A,01,04,003,,,,,,,,,,,,,,,,,,,,,,
1996,A,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,B,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,A,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,A,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,A,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,A,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,A,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,A,01,04,016,,,,,,,,,,,,,,,,,,,,,,
1996,U,01,04,019,,,,,,,,,,,,,,,,,,,,,,
1996,U,01,04,022,,,,,,,,,,,,,,,,,,,,,,
1996,U,01,04,031,,,,,,,,,,,,,,,,,,,,,,
1996,A,01,04,038,,,,,,,,,,,,,,,,,,,,,,
1996,U,01,04,043,,,,,,,,,,,,,,,,,,,,,,
1996,B,01,04,064,,,,,,,,,,,,,,,,,,,,,,
1996,U,01,04,066,,,,,,,,,,,,,,,,,,,,,,
1996,U,01,04,069,,,,,,,,,,,,,,,,,,,,,,
1996,B,01,04,003,,,,,,,,,,,,,,,,,,,,,,
1996,U,01,04,005,,,,,,,,,,,,,,,,,,,,,,
1996,A,01,04,006,,,,,,,,,,,,,,,,,,,,,,
1996,A,01,04,006,,,,,,,,,,,,,,,,,,,,,,
1996,U,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,U,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,A,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,U,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,B,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,B,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,U,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,U,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,U,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,A,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,U,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,U,01,04,029,,,,,,,,,,,,,,,,,,,,,,
1996,B,01,04,031,,,,,,,,,,,,,,,,,,,,,,
1996,A,01,04,035,,,,,,,,,,,,,,,,,,,,,,
1996,A,01,04,003,,,,,,,,,,,,,,,,,,,,,,
1996,U,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,U,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,A,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,A,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,A,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,U,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,B,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,A,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,U,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,A,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,U,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,A,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,B,01,04,017,,,,,,,,,,,,,,,,,,,,,,
1996,A,01,04,024,,,,,,,,,,,,,,,,,,,,,,
1996,B,01,04,029,,,,,,,,,,,,,,,,,,,,,,
1996,U,01,04,029,,,,,,,,,,,,,,,,,,,,,,
1996,B,01,04,032,,,,,,,,,,,,,,,,,,,,,,
1996,B,01,04,003,,,,,,,,,,,,,,,,,,,,,,
1996,B,01,04,003,,,,,,,,,,,,,,,,,,,,,,
1996,B,01,04,006,,,,,,,,,,,,,,,,,,,,,,
1996,A,01,04,011,,,,,,,,,,,,,,,,,,,,,,
1996,B,01,04,011,,,,,,,,,,,,,,,,,,,,,,
1996,B,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,U,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,U,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,U,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,U,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,B,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,U,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,U,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,A,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,A,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,B,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,B,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,U,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,B,01,04,003,,,,,,,,,,,,,,,,,,,,,,
1996,A,01,04,003,,,,,,,,,,,,,,,,,,,,,,
1996,A,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,B,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,U,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,A,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,A,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,B,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,A,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,B,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,A,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,B,01,04,013,,,,,,,,,,,,,,,,,,,,,,
1996,B,01,04,013,,,,,,,,,,,,,,,,,,,,,,
