Código,Siglas,Denominación,Clasificacion
000001,ABA,ALIANCA BALEAR,Regionalista Derecha
000002,ADEC,ACCION DEMOCRATICA CIUDADANA,Centro Derecha
000004,AFIT,AGRUPACIONES FAMILIARES INDEPENDIENTES TINERFEÑAS,Regionalista Derecha
000005,ALAS,AGRUPACION LIBERAL AUTONOMISTA Y SOCIAL,Derecha
000006,AR,ACCION REPUBLICANA,Izquierda
000007,AUN,ALIANZA POR LA UNIDAD NACIONAL,Derecha
000009,BNG,BLOQUE NACIONALISTA GALEGO,Regionalista Izquierda
000010,CC,COALICION CANARIA,Regionalista Derecha
000011,CCV,CENTRISTAS DE LA COMUNIDAD VALENCIANA,Centro Derecha
000012,CDN,CONVERGENCIA DEMOCRATAS DE NAVARRA,Centro Derecha
000013,CEX,COALICION EXTREMEÑA,Regionalista Derecha
000014,CHA,CHUNTA ARAGONESISTA,Regionalista Izquierda
000015,CIU,CONVERGENCIA I UNIO,Regionalista Derecha
000018,CR,COALICIO REPUBLICANA,Izquierda
000019,CR,COALICION REPUBLICANA,Izquierda
000020,DSA,DINAMICA SOCIAL ARAGONESA,Centro Izquierda
000021,EA,EUSKO ALKARTASUNA,Regionalista Izquierda
000022,EAJ-PNV,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,Regionalista Derecha
000024,ENV,ESQUERRA NACIONALISTA VALENCIANA,Regionalista Izquierda
000025,ERC,ESQUERRA REPUBLICANA DE CATALUNYA,Regionalista Izquierda
000026,EU-EG,ESQUERDA UNIDA-ESQUERDA GALEGA,Regionalista Izquierda
000027,EUPV,ESQUERRA UNIDA DEL PAIS VALENCIA,Regionalista Izquierda
000028,EV,ELS VERDS DEL PAIS VALENCIA,Regionalista Izquierda
000029,EV,ELS VERDS-LOS VERDES,Regionalista Izquierda
000030,EVE-AEC,ELS VERDS EUROPEUS-ALTER. ECOLOGISTA DE CATALUNYA,Regionalista Izquierda
000031,EVIB,ELS VERDS DE LES ILLES BALEARS,Regionalista Izquierda
000032,FEA,FALANGE ESPAÑOLA AUTENTICA,Derecha
000033,FEI,FALANGE ESPAÑOLA INDEPENDIENTE,Derecha
000034,FPG,FRENTE POPULAR GALEGA,Izquierda
000035,FREPIC,FRENTE POPULAR POR LA INDEPENDENCIA DE CANARIAS,Regionalista Izquierda
000036,HB,HERRI BATASUNA,Izquierda
000037,IC-EV,INICIATIVA PER CATALUNYA-ELS VERDS,Centro Izquierda
000038,ICV-GORORDO,INIC.CIUDADANA VASCA/EUSKAL HURITARREN EGITEKOAK,Centro Izquierda
000040,IU,ESQUERRA UNIDA DE LES ILLES BALEARS,Izquierda
000041,IU,IZQUIERDA UNIDA,Izquierda
000042,IU,IZQUIERDA UNIDA DE ARAGON,Izquierda
000043,IU,IZQUIERDA UNIDA-LA RIOJA,Izquierda
000044,IU-CL,IZQUIERDA UNIDA DE CASTILLA Y LEON,Izquierda
000045,IU-EB,IZQUIERDA UNIDA-EZKER BATUA,Izquierda
000046,IU-EB,IZQUIERDA UNIDA-EZKER BATUA DE NAVARRA,Izquierda
000047,IU-ICAM,IZQUIERDA UNIDA-IZQUIERDA DE CASTILLA-LA MANCHA,Izquierda
000048,IU-LV,IZQUIERDA UNIDA-LOS VERDES REGION DE MURCIA,Izquierda
000049,IU-LV,IZQUIERDA UNIDA-LOS VERDES-COMPROMISO POR EXTRM.,Izquierda
000050,IUC,IZQUIERDA UNIDA CANARIA,Izquierda
000051,IULV-CA,IZQUIERDA UNIDA LOS VERDES-CONVOC. POR ANDALUCIA,Izquierda
000052,IZEGZAWEN,IZQUIERDA VERDE DE LAS ISLAS CANARIAS,Izquierda
000053,LAE,LIGA AUTONOMA ESPAÑOLA,Derecha
000054,LG,PARTIDO LA GENTE,Centro Izquierda
000055,LOS VERDES,LOS VERDES DE GALICIA,Izquierda
000056,LV,LOS VERDES DE MADRID,Izquierda
000057,LV-GV,LOS VERDES-GRUPO VERDE,Izquierda
000058,LVE,LOS VERDES EUROPEOS,Izquierda
000060,LVE,LOS VERDES EUROPEOS-EUSKAL HERRIKO BERDEAK,Izquierda
000063,LVE,LOS VERDES EUROPEOS-LOS VERDES ALTERNATIVOS,Izquierda
000064,N,ESTADO NACIONAL EUROPEO,Derecha
000065,,NACION ANDALUZA,Regionalista Izquierda
000066,NR,NUEVA REGION,Centro Derecha
000067,P.RIOJANO,PARTIDO RIOJANO,Regionalista Derecha
000068,PA,PARTIDO ANDALUCISTA,Regionalista Derecha
000069,PAE,PARTIDO DE LOS TRABAJADORES AUTONOMOS DE ESPAÑA,Centro Derecha
000071,PAS,PARTIU ASTURIANISTA,Regionalista Izquierda
000072,PB,PARTIDO DE EL BIERZO,Regionalista Derecha
000073,PCN,PARTIDO CANARIO NACIONALISTA,Regionalista Derecha
000074,PCPA,PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,Izquierda
000075,PCPC,PARTIDO COMUNISTA DEL PUEBLO CANARIO,Izquierda
000076,PCPE,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,Izquierda
000077,PCPE,PARTIT COMUNISTA DELS POBLES D'ESPANYA,Izquierda
000080,PEC,PARTIT ECOLOGISTA DE CATALUNYA,Izquierda
000081,PH,PARTIDO HUMANISTA,Centro Izquierda
000082,PICC,PLATAFORMA INDEPENDENT CIUTADANA DE CATALUNYA,Centro Derecha
000083,PICC,PLATAFORMA INDEPENDIENTE CIUDADANA DE CATALUÑA,Centro Derecha
000085,PIZ,PARTIDO INTERZAMORANO,Regionalista Derecha
000087,PNM,PARTIDO NACIONALISTA DE MELILLA,Regionalista Derecha
000089,POR,PARTIDO OBRERO REVOLUCIONARIO,Izquierda
000090,POR,PARTIT OBRER REVOLUCIONARI,Izquierda
000091,PP,PARTIDO POPULAR,Centro Derecha
000092,PP,PARTIDO POPULAR/PARTIT POPULAR,Centro Derecha
000093,PP,PARTIT POPULAR,Centro Derecha
000094,PP-PAR,PARTIDO POPULAR-PARTIDO ARAGONES,Centro Derecha
000096,PRCM,PARTIDO REGIONALISTA DE CASTILLA-LA MANCHA,Regionalista Derecha
000098,PREPAL,"SALAMANCA, ZAMORA, LEON",Regionalista Derecha
000099,PRGU,PARTIDO REGIONALISTA DE GUADALAJARA,Regionalista Derecha
000100,PRIM,PARTIDO REGIONAL INDEPENDIENTE MADRILEÑO,Regionalista Derecha
000101,PRT,PARTIDO REVOLUCIONARIO DE LOS TRABAJADORES,Izquierda
000102,PRT,PARTIT REVOLUCIONARI DELS TREBALLADORS,Izquierda
000103,PRV,PARTIDO ROJI-VERDE,Izquierda
000104,PSC-PSOE,PARTIT DELS SOCIALISTES DE CATALUNYA,Centro Izquierda
000105,PSE-EE/PSOE,PARTIDO SOCIALISTA DE EUSKADI-EUSKADIKO EZKERRA,Centro Izquierda
000106,PSG-PSOE,PARTIDO DOS SOCIALISTAS DE GALICIA-PSOE,Centro Izquierda
000107,PSM-ENE,COALICION ELECTORAL PSM-ENE,Centro Izquierda
000108,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,Centro Izquierda
000109,PSOE-A,PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,Centro Izquierda
000110,PSPC,PARTIDO SOCIALISTA DEL PUEBLO DE CEUTA,Centro Izquierda
000111,SIEX,SOCIALISTAS INDEPENDIENTES DE EXTREMADURA,Centro Izquierda
000112,SOS,SOS NATURALEZA,Izquierda
000113,TC-PNC,TIERRA COMUNERA-PARTIDO NACIONALISTA CASTELLANO,Regionalista Derecha
000115,UAD,UNIDAD ANDALUZA DEMOCRATICA,Centro Derecha
000116,UC,UNION CENTRISTA,Centro Derecha
000118,UM,UNIO MALLORQUINA,Regionalista Derecha
000119,UPL,UNION DEL PUEBLO LEONES,Regionalista Derecha
000120,UPN-PP,UNION DEL PUEBLO NAVARRO-PARTIDO POPULAR,Regionalista Derecha
000121,UPRA,UNION PROVINCIAL ALICANTINA,Regionalista Derecha
000122,UPV-BN,UNITAT DEL POBLE VALENCIA-BLOC NACIONALISTA,Regionalista Izquierda
000123,URCL,UNIDAD REGIONALISTA DE CASTILLA Y LEON,Regionalista Derecha
000124,UV,UNIO VALENCIANA,Regionalista Derecha
000125,VDPA,VOZ DEL PUEBLO ANDALUZ,Regionalista Izquierda
000126,VE-EHB,VERDES EUROPEOS-EUSKAL HERRIKO BERDEAK,Izquierda
000127,VE-VG,LOS VERDES EUROPEOS-OS VERDES DE GALICIA,Izquierda
000128,VERDES,LOS VERDES DE ASTURIES,Izquierda
000129,VG,OS VERDES DE GALICIA,Izquierda
000131,PRT,PARTIDO REVOLUCIONARIO DE LOS TRABAJADORES,Izquierda
000132,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,Centro Izquierda
000008,AU.TO.NO.MO,PARTIDO DE LOS AUTONOMOS Y PROFESIONALES,Centro Derecha
000016,CCS,CONVERGENCIA CIUDADANA DEL SURESTE,Centro Derecha
000017,CDN,CONVERGENCIA DEMOCRATAS DE NAVARRA,Centro Derecha
000023,CNC,CONCEJU NACIONALIEGU CANTABRU,Regionalista Izquierda
000039,EU,ESQUERRA UNIDA DE LES ILLES BALEARS,Izquierda
000059,II,INICIATIVA INDEPENDIENTE,Centro Derecha
000062,IR-PRE,IZQUIERDA REPUBLICANA-PARTIT REPUBLICA D'ESQUERRA,Izquierda
000070,IULV-CA,IZQUIERDA UNIDA LOS VERDES-CONVOC. POR ANDALUCIA,Izquierda
000078,LVE,LOS VERDES-ECOPACIFISTAS,Izquierda
000079,PSDEG-PSOE,PARTIDO DE LOS SOCIALISTAS DE GALICIA-PSOE,Regionalista Izquierda
000084,NR,NUEVA REGION,Centro Derecha
000086,PA,PARTIDO ANDALUCISTA,Regionalista Derecha
000088,PADE,PARTIDO DEMOCRATA ESPAÑOL,Centro Derecha
000095,PB,PARTIDO DE EL BIERZO,Regionalista Derecha
000114,PP,PARTIT POPULAR,Centro Derecha
000117,PP-UPM,PP EN COALICION CON UPM,Centro Derecha
000130,PSM-EN,PSM ENTESA NACIONALISTA,Regionalista Izquierda
000134,PLA-ESP2000,PLATAFORMA ESPAÑA 2000,Derecha
000135,PSOE-PROGR.,PARTIDO SOCIALISTA OBRERO ESPAÑOL - PROGRESISTAS,Centro Izquierda
000136,PSPC,PARTIDO SOCIALISTA DEL PUEBLO DE CEUTA,Centro Izquierda
000137,PSDEG-PSOE,PARTIDO DOS SOCIALISTAS DE GALICIA - PSOE - PROGR.,Centro Izquierda
000139,SIEX,SOCIALISTAS INDEPENDIENTES DE EXTREMADURA,Centro Izquierda
000140,TC-PNC,TIERRA COMUNERA-PARTIDO NACIONALISTA CASTELLANO,Regionalista Derecha
000141,TD,COALICIO TREBALLADORS PER LA DEMOCRACIA,Izquierda
000142,TPC,TAGOROR PENSIONISTA DE CANARIAS,Regionalista Derecha
000144,UC-CDS,UNIO CENTRISTA-CENTRE DEMOCRATIC I SOCIAL,Centro Derecha
000145,UC-CDS,UNION CENTRISTA-CENTRO DEMOCRATICO Y SOCIAL,Centro Derecha
000148,UM-INME,C.ILLES BALEARS UNIO MALLORQUINA-INDEP. DE MENORCA,Regionalista Derecha
000149,UNIB,UNION IBERICA,Derecha
000150,UP-CAN,UNIDAD PROGRESISTAS DE CANARIAS,Regionalista Izquierda
000151,UPB,UNION DEL PUEBLO BALEAR,Regionalista Derecha
000152,UPL,UNION DEL PUEBLO LEONES,Regionalista Derecha
000153,UPN-PP,UNION DEL PUEBLO NAVARRO-PARTIDO POPULAR,Regionalista Derecha
000154,UPZ,UNION DEL PUEBLO ZAMORANO,Regionalista Derecha
000155,URAL,UNION REGIONALISTA ALMERIENSE,Regionalista Derecha
000156,URAS,UNION RENOVADORA ASTURIANA,Regionalista Derecha
000157,URCL,UNION REGIONALISTA DE CASTILLA Y LEON,Regionalista Derecha
000158,USI,UNION SALMANTINA INDEPENDIENTE,Regionalista Derecha
000159,UV,UNIO VALENCIANA,Regionalista Derecha
000160,VDPA,VOZ DEL PUEBLO ANDALUZ,Regionalista Izquierda
000161,VERDES,LOS VERDES DE ASTURIES,Izquierda
000162,VERDES,LOS VERDES DE CANARIAS,Izquierda
000163,VERDES,LOS VERDES,Izquierda
000164,EKA-PC,PARTIDO CARLISTA,Derecha
000165,PLAT. ES.,PLATAFORMA ESPAÑA 2000,Derecha
000166,LV,LOS VERDES,Izquierda
000167,PC,PARTIDO CARLISTA,Derecha
000168,UN,UNION NACIONAL,Derecha
000169,URCL,UNIDAD REGIONALISTA DE CASTILLA Y LEON,Regionalista Derecha
000170,PSOE-PROGR.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,Centro Izquierda
000172,LA FALANGE,LA FALANGE,Derecha
000173,IAN,IZQUIERDA ANDALUZA,Izquierda
000174,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL - PROGRESISTAS,Centro Izquierda
000175,CDS-UC,UNION CENTRISTA-CENTRO DEMOCRATICO Y SOCIAL,Centro Derecha
000176,LI (LIT-CI),NAZIOARTEKO BORROKA-LUCHA INTERNACIONALISTA,Izquierda
000177,LI (LIT-CI),NAZIOARTEKO BORROKA,Izquierda
000003,AA,ANDECHA ASTUR,Regionalista Izquierda
000061,IAS,IZQUIERDA ASTURIANA,Regionalista Izquierda
000097,P.CANNABIS,PART. CANNABIS POR LA LEGALIZACION Y NORMALIZACION,Izquierda
000133,PPCr,PARTIDO POSITIVISTA CRISTIANO,Derecha
000138,PSA,PARTIDO SOCIALISTA DE ANDALUCIA,Centro Izquierda
000143,PSICV,P.SOCIALDEMOCRATA IND. DE LA COMUNITAT VALENCIANA,Centro Izquierda
000146,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,Centro Izquierda
000147,PSOE de A,PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,Centro Izquierda
000171,PCTR,PARTIDO CENTRISTA,Centro Derecha
000178,PCPE - EK,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA-EUSKAL KOMUNISTAK,Izquierda
000181,PCPE,PARTIDO COMUNISTA DEL PUEBLO CANARIO,Izquierda
000182,PCPE,PARTIDO COMUNISTA DEL PUEBLO CASTELLANO,Izquierda
