Año,Codigo de MESA,Comunidad,Provincia,Municipio,Religiosidad,Edad Media,Escolarizacion,Esperanza de Vida,Habitantes Municipio,Acceso a Internet,PIB per capita de Provincia,Criminalidad,Inmigracion,% de mujeres,Tasa de Pobreza,Tasa Desempleo,Gobierno Actual de Comunidad,Gobierno Actual de España,Tasa de Participacion,Votos derecha,Votos izquierda,Votos centro izquierda,Votos centro derecha,Votos centro derecha,Votos regionalista izquierda,Votos regionalista derecha,Candidatura Ganadora
1996,B,1,4,3,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,6,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,15,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,20,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,24,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,29,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,29,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,30,,,,,,,,,,,,,,,,,,,,,,,
1996,C,1,4,35,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,3,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,3,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,16,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,19,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,22,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,31,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,38,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,43,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,64,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,66,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,69,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,3,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,5,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,6,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,6,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,29,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,31,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,35,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,3,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,17,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,24,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,29,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,29,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,32,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,3,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,3,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,6,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,11,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,11,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,3,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,3,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,33,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,34,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,37,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,37,,,,,,,,,,,,,,,,,,,,,,,
1996,C,1,4,52,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,3,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,6,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,6,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,32,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,32,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,35,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,51,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,54,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,58,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,66,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,66,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,6,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,26,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,28,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,35,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,53,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,53,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,53,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,53,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,59,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,3,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,3,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,11,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,12,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,29,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,31,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,36,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,45,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,2,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,6,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,A,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,B,1,4,13,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,14,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,35,,,,,,,,,,,,,,,,,,,,,,,
1996,C,1,4,38,,,,,,,,,,,,,,,,,,,,,,,
1996,U,1,4,45,,,,,,,,,,,,,,,,,,,,,,,
