Nacionalidad;Provincias;Sexo;Ano;Total
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;2023;27.558
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;2021;26.799
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;2020;26.324
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;2019;24.586
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;2018;23.761
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;2017;22.966
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;2016;23.985
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;2015;25.171
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;2014;27.052
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;2013;30.383
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;2012;32.102
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;2011;32.083
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;2010;32.405
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;2009;32.811
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;2008;31.128
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;2007;26.348
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;2006;22.811
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;2005;20.552
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;2004;16.065
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;2003;13.318
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;2002;9.487
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;2001;5.084
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;2000;1.854
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;1999;1.261
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;1996;1.115
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;2023;388.748
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;2021;373.423
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;2020;374.618
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;2019;355.454
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;2018;336.902
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;2017;325.120
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;2016;342.686
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;2015;364.382
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;2014;385.225
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;2013;469.417
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;2012;472.610
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;2011;466.684
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;2010;467.099
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;2009;462.974
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;2008;446.368
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;2007;392.907
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;2006;359.150
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;2005;321.640
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;2004;260.316
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;2003;245.883
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;2002;185.598
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;2001;132.444
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;2000;118.961
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;1999;102.226
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;1996;75.722
TOTAL EXTRANJEROS;04 Almer�a;Ambos sexos;2023;162.091
TOTAL EXTRANJEROS;04 Almer�a;Ambos sexos;2021;156.357
TOTAL EXTRANJEROS;04 Almer�a;Ambos sexos;2020;154.595
TOTAL EXTRANJEROS;04 Almer�a;Ambos sexos;2019;145.908
TOTAL EXTRANJEROS;04 Almer�a;Ambos sexos;2018;139.759
