Provincias;Tasas;Periodo;Total
02 Albacete;Tasa de paro de la población;2004T4;9.55
02 Albacete;Tasa de paro de la población;2005T4;10.87
02 Albacete;Tasa de paro de la población;2006T4;8.1
02 Albacete;Tasa de paro de la población;2007T4;10.24
02 Albacete;Tasa de paro de la población;2008T4;17.11
02 Albacete;Tasa de paro de la población;2009T4;21.69
02 Albacete;Tasa de paro de la población;2010T4;21.42
02 Albacete;Tasa de paro de la población;2011T4;25.37
02 Albacete;Tasa de paro de la población;2012T4;33.99
02 Albacete;Tasa de paro de la población;2013T4;29.36
02 Albacete;Tasa de paro de la población;2014T4;26.71
02 Albacete;Tasa de paro de la población;2015T4;25.39
02 Albacete;Tasa de paro de la población;2016T4;24.07
03 Alicante/Alacant;Tasa de paro de la población;2004T4;9.18
03 Alicante/Alacant;Tasa de paro de la población;2005T4;10.06
03 Alicante/Alacant;Tasa de paro de la población;2006T4;10.37
03 Alicante/Alacant;Tasa de paro de la población;2007T4;11.13
03 Alicante/Alacant;Tasa de paro de la población;2008T4;16.04
03 Alicante/Alacant;Tasa de paro de la población;2009T4;23.84
03 Alicante/Alacant;Tasa de paro de la población;2010T4;24.81
03 Alicante/Alacant;Tasa de paro de la población;2011T4;26.47
03 Alicante/Alacant;Tasa de paro de la población;2012T4;28.57
03 Alicante/Alacant;Tasa de paro de la población;2013T4;30.1
03 Alicante/Alacant;Tasa de paro de la población;2014T4;28.34
03 Alicante/Alacant;Tasa de paro de la población;2015T4;27.46
03 Alicante/Alacant;Tasa de paro de la población;2016T4;26.57
04 Almería;Tasa de paro de la población;2004T4;7.82
04 Almería;Tasa de paro de la población;2005T4;9.35
04 Almería;Tasa de paro de la población;2006T4;9.58
04 Almería;Tasa de paro de la población;2007T4;10.45
04 Almería;Tasa de paro de la población;2008T4;24.98
04 Almería;Tasa de paro de la población;2009T4;24.46
04 Almería;Tasa de paro de la población;2010T4;27.09
04 Almería;Tasa de paro de la población;2011T4;33.31
04 Almería;Tasa de paro de la población;2012T4;36.6
04 Almería;Tasa de paro de la población;2013T4;36.25
04 Almería;Tasa de paro de la población;2014T4;33.2
04 Almería;Tasa de paro de la población;2015T4;31.67
04 Almería;Tasa de paro de la población;2016T4;30.14
01 Araba/Álava;Tasa de paro de la población;2004T4;5.3
01 Araba/Álava;Tasa de paro de la población;2005T4;6.42
01 Araba/Álava;Tasa de paro de la población;2006T4;5.48
01 Araba/Álava;Tasa de paro de la población;2007T4;4.25
01 Araba/Álava;Tasa de paro de la población;2008T4;7.53
01 Araba/Álava;Tasa de paro de la población;2009T4;14.15
01 Araba/Álava;Tasa de paro de la población;2010T4;10.8
01 Araba/Álava;Tasa de paro de la población;2011T4;10.97
