Sexo;Provincias;Tasas;Periodo;Total
Ambos sexos;02 Albacete;Tasa de paro de la población;2023T4;11,96
Ambos sexos;02 Albacete;Tasa de paro de la población;2022T4;11,00
Ambos sexos;02 Albacete;Tasa de paro de la población;2021T4;12,07
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2023T4;13,28
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2022T4;15,21
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2021T4;18,53
Ambos sexos;04 Almería;Tasa de paro de la población;2023T4;14,46
Ambos sexos;04 Almería;Tasa de paro de la población;2022T4;16,06
Ambos sexos;04 Almería;Tasa de paro de la población;2021T4;15,65
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2023T4;5,03
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2022T4;7,81
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2021T4;8,71
Ambos sexos;33 Asturias;Tasa de paro de la población;2023T4;11,81
Ambos sexos;33 Asturias;Tasa de paro de la población;2022T4;14,39
Ambos sexos;33 Asturias;Tasa de paro de la población;2021T4;10,01
Ambos sexos;05 Ávila;Tasa de paro de la población;2023T4;11,30
Ambos sexos;05 Ávila;Tasa de paro de la población;2022T4;12,00
Ambos sexos;05 Ávila;Tasa de paro de la población;2021T4;15,32
Ambos sexos;06 Badajoz;Tasa de paro de la población;2023T4;17,59
Ambos sexos;06 Badajoz;Tasa de paro de la población;2022T4;18,82
Ambos sexos;06 Badajoz;Tasa de paro de la población;2021T4;19,70
Ambos sexos;07 Balears, Illes;Tasa de paro de la población;2023T4;11,38
Ambos sexos;07 Balears, Illes;Tasa de paro de la población;2022T4;10,91
Ambos sexos;07 Balears, Illes;Tasa de paro de la población;2021T4;14,90
Ambos sexos;08 Barcelona;Tasa de paro de la población;2023T4;8,44
Ambos sexos;08 Barcelona;Tasa de paro de la población;2022T4;10,15
Ambos sexos;08 Barcelona;Tasa de paro de la población;2021T4;9,60
Ambos sexos;48 Bizkaia;Tasa de paro de la población;2023T4;6,69
Ambos sexos;48 Bizkaia;Tasa de paro de la población;2022T4;8,96
Ambos sexos;48 Bizkaia;Tasa de paro de la población;2021T4;9,50
Ambos sexos;09 Burgos;Tasa de paro de la población;2023T4;8,41
Ambos sexos;09 Burgos;Tasa de paro de la población;2022T4;7,41
Ambos sexos;09 Burgos;Tasa de paro de la población;2021T4;10,03
