Provincias;Tasas;Periodo;Total
02 Albacete;Tasa de paro de la población;2013T4;29,36
02 Albacete;Tasa de paro de la población;2012T4;33,99
02 Albacete;Tasa de paro de la población;2011T4;25,37
02 Albacete;Tasa de paro de la población;2010T4;21,42
02 Albacete;Tasa de paro de la población;2009T4;21,69
02 Albacete;Tasa de paro de la población;2008T4;17,11
02 Albacete;Tasa de paro de la población;2007T4;10,24
02 Albacete;Tasa de paro de la población;2006T4;8,10
02 Albacete;Tasa de paro de la población;2005T4;10,87
03 Alicante/Alacant;Tasa de paro de la población;2013T4;30,10
03 Alicante/Alacant;Tasa de paro de la población;2012T4;28,57
03 Alicante/Alacant;Tasa de paro de la población;2011T4;26,47
03 Alicante/Alacant;Tasa de paro de la población;2010T4;24,81
03 Alicante/Alacant;Tasa de paro de la población;2009T4;23,84
03 Alicante/Alacant;Tasa de paro de la población;2008T4;16,04
03 Alicante/Alacant;Tasa de paro de la población;2007T4;11,13
03 Alicante/Alacant;Tasa de paro de la población;2006T4;10,37
03 Alicante/Alacant;Tasa de paro de la población;2005T4;10,06
04 Almería;Tasa de paro de la población;2013T4;36,25
04 Almería;Tasa de paro de la población;2012T4;36,60
04 Almería;Tasa de paro de la población;2011T4;33,31
04 Almería;Tasa de paro de la población;2010T4;27,09
04 Almería;Tasa de paro de la población;2009T4;24,46
04 Almería;Tasa de paro de la población;2008T4;24,98
04 Almería;Tasa de paro de la población;2007T4;10,45
04 Almería;Tasa de paro de la población;2006T4;9,58
04 Almería;Tasa de paro de la población;2005T4;9,35
01 Araba/Álava;Tasa de paro de la población;2013T4;17,50
01 Araba/Álava;Tasa de paro de la población;2012T4;18,30
01 Araba/Álava;Tasa de paro de la población;2011T4;10,97
01 Araba/Álava;Tasa de paro de la población;2010T4;10,80
01 Araba/Álava;Tasa de paro de la población;2009T4;14,15
01 Araba/Álava;Tasa de paro de la población;2008T4;7,53
01 Araba/Álava;Tasa de paro de la población;2007T4;4,25
01 Araba/Álava;Tasa de paro de la población;2006T4;5,48
01 Araba/Álava;Tasa de paro de la población;2005T4;6,42
33 Asturias;Tasa de paro de la población;2013T4;22,25
33 Asturias;Tasa de paro de la población;2012T4;23,76
33 Asturias;Tasa de paro de la población;2011T4;18,90
33 Asturias;Tasa de paro de la población;2010T4;16,67
33 Asturias;Tasa de paro de la población;2009T4;14,24
33 Asturias;Tasa de paro de la población;2008T4;9,95
33 Asturias;Tasa de paro de la población;2007T4;8,12
33 Asturias;Tasa de paro de la población;2006T4;9,18
33 Asturias;Tasa de paro de la población;2005T4;9,56
05 Ávila;Tasa de paro de la población;2013T4;26,25
05 Ávila;Tasa de paro de la población;2012T4;22,23
05 Ávila;Tasa de paro de la población;2011T4;22,17
05 Ávila;Tasa de paro de la población;2010T4;22,54
05 Ávila;Tasa de paro de la población;2009T4;20,50
05 Ávila;Tasa de paro de la población;2008T4;14,74
05 Ávila;Tasa de paro de la población;2007T4;5,58
05 Ávila;Tasa de paro de la población;2006T4;6,85
05 Ávila;Tasa de paro de la población;2005T4;8,83
06 Badajoz;Tasa de paro de la población;2013T4;32,72
06 Badajoz;Tasa de paro de la población;2012T4;35,40
06 Badajoz;Tasa de paro de la población;2011T4;30,42
06 Badajoz;Tasa de paro de la población;2010T4;26,05
06 Badajoz;Tasa de paro de la población;2009T4;22,95
