Código,Siglas,Denominación,Clasificacion
1,ABA,ALIANCA BALEAR,Regionalista Derecha
2,ADEC,ACCION DEMOCRATICA CIUDADANA,Centro derecha
4,AFIT,AGRUPACIONES FAMILIARES INDEPENDIENTES TINERFEÑAS,Regionalista derecha
5,ALAS,AGRUPACION LIBERAL AUTONOMISTA Y SOCIAL,Derecha
6,AR,ACCION REPUBLICANA,Izquierda
7,AUN,ALIANZA POR LA UNIDAD NACIONAL,Derecha
9,BNG,BLOQUE NACIONALISTA GALEGO,Regionalista izquierda
10,CC,COALICION CANARIA,Regionalista derecha
11,CCV,CENTRISTAS DE LA COMUNIDAD VALENCIANA,Centro derecha
12,CDN,CONVERGENCIA DEMOCRATAS DE NAVARRA,Centro derecha
13,CEX,COALICION EXTREMEÑA,Regionalista derecha
14,CHA,CHUNTA ARAGONESISTA,Regionalista izquierda
15,CIU,CONVERGENCIA I UNIO,Regionalista derecha
18,CR,COALICIO REPUBLICANA,Izquierda
19,CR,COALICION REPUBLICANA,Izquierda
20,DSA,DINAMICA SOCIAL ARAGONESA,Centro izquierda
21,EA,EUSKO ALKARTASUNA,Regionalista izquierda
22,EAJ-PNV,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,Regionalista derecha
24,ENV,ESQUERRA NACIONALISTA VALENCIANA,Regionalista izquierda
25,ERC,ESQUERRA REPUBLICANA DE CATALUNYA,Regionalista izquierda
26,EU-EG,ESQUERDA UNIDA-ESQUERDA GALEGA,Regionalista izquierda
27,EUPV,ESQUERRA UNIDA DEL PAIS VALENCIA,Regionalista izquierda
28,EV,ELS VERDS DEL PAIS VALENCIA,Regionalista izquierda
29,EV,ELS VERDS-LOS VERDES,Regionalista izquierda
30,EVE-AEC,ELS VERDS EUROPEUS-ALTER. ECOLOGISTA DE CATALUNYA,Regionalista izquierda
31,EVIB,ELS VERDS DE LES ILLES BALEARS,Regionalista izquierda
32,FEA,FALANGE ESPAÑOLA AUTENTICA,Derecha
33,FEI,FALANGE ESPAÑOLA INDEPENDIENTE,Derecha
34,FPG,FRENTE POPULAR GALEGA,Izquierda
35,FREPIC,FRENTE POPULAR POR LA INDEPENDENCIA DE CANARIAS,Regionalista izquierda
36,HB,HERRI BATASUNA,Izquierda
37,IC-EV,INICIATIVA PER CATALUNYA-ELS VERDS,Centro izquierda
38,ICV-GORORDO,INIC.CIUDADANA VASCA/EUSKAL HURITARREN EGITEKOAK,Centro izquierda
40,IU,ESQUERRA UNIDA DE LES ILLES BALEARS,Regionalista izquierda
41,IU,IZQUIERDA UNIDA,Izquierda
42,IU,IZQUIERDA UNIDA DE ARAGON,Izquierda
43,IU,IZQUIERDA UNIDA-LA RIOJA,Izquierda
44,IU-CL,IZQUIERDA UNIDA DE CASTILLA Y LEON,Izquierda
45,IU-EB,IZQUIERDA UNIDA-EZKER BATUA,Izquierda
46,IU-EB,IZQUIERDA UNIDA-EZKER BATUA DE NAVARRA,Izquierda
47,IU-ICAM,IZQUIERDA UNIDA-IZQUIERDA DE CASTILLA-LA MANCHA,Izquierda
48,IU-LV,IZQUIERDA UNIDA-LOS VERDES REGION DE MURCIA,Izquierda
49,IU-LV,IZQUIERDA UNIDA-LOS VERDES-COMPROMISO POR EXTRM.,Izquierda
50,IUC,IZQUIERDA UNIDA CANARIA,Izquierda
51,IULV-CA,IZQUIERDA UNIDA LOS VERDES-CONVOC. POR ANDALUCIA,Izquierda
52,IZEGZAWEN,IZQUIERDA VERDE DE LAS ISLAS CANARIAS,Izquierda
53,LAE,LIGA AUTONOMA ESPAÑOLA,Derecha
54,LG,PARTIDO LA GENTE,Centro izquierda
55,LOS VERDES,LOS VERDES DE GALICIA,Izquierda
56,LV,LOS VERDES DE MADRID,Izquierda
57,LV-GV,LOS VERDES-GRUPO VERDE,Izquierda
58,LVE,LOS VERDES EUROPEOS,Izquierda
60,LVE,LOS VERDES EUROPEOS-EUSKAL HERRIKO BERDEAK,Izquierda
63,LVE,LOS VERDES EUROPEOS-LOS VERDES ALTERNATIVOS,Izquierda
64,N,ESTADO NACIONAL EUROPEO,Derecha
65,NA,NACION ANDALUZA,Regionalista izquierda
66,NR,NUEVA REGION,Centro derecha
67,P.RIOJANO,PARTIDO RIOJANO,Regionalista derecha
68,PA,PARTIDO ANDALUCISTA,Regionalista derecha
69,PAE,PARTIDO DE LOS TRABAJADORES AUTONOMOS DE ESPAÑA,Centro derecha
71,PAS,PARTIU ASTURIANISTA,Regionalista izquierda
72,PB,PARTIDO DE EL BIERZO,Regionalista derecha
73,PCN,PARTIDO CANARIO NACIONALISTA,Regionalista derecha
74,PCPA,PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,Izquierda
75,PCPC,PARTIDO COMUNISTA DEL PUEBLO CANARIO,Izquierda
76,PCPE,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,Izquierda
77,PCPE,PARTIT COMUNISTA DELS POBLES D'ESPANYA,Izquierda
80,PEC,PARTIT ECOLOGISTA DE CATALUNYA,Izquierda
81,PH,PARTIDO HUMANISTA,Centro izquierda
82,PICC,PLATAFORMA INDEPENDENT CIUTADANA DE CATALUNYA,Centro derecha
83,PICC,PLATAFORMA INDEPENDIENTE CIUDADANA DE CATALUÑA,Centro derecha
85,PIZ,PARTIDO INTERZAMORANO,Regionalista derecha
87,PNM,PARTIDO NACIONALISTA DE MELILLA,Regionalista derecha
89,POR,PARTIDO OBRERO REVOLUCIONARIO,Izquierda
90,POR,PARTIT OBRER REVOLUCIONARI,Izquierda
91,PP,PARTIDO POPULAR,Centro derecha
92,PP,PARTIDO POPULAR/PARTIT POPULAR,Centro derecha
93,PP,PARTIT POPULAR,Centro derecha
94,PP-PAR,PARTIDO POPULAR-PARTIDO ARAGONES,Centro derecha
96,PRCM,PARTIDO REGIONALISTA DE CASTILLA-LA MANCHA,Regionalista derecha
98,PREPAL,"SALAMANCA, ZAMORA, LEON",Regionalista derecha
99,PRGU,PARTIDO REGIONALISTA DE GUADALAJARA,Regionalista derecha
100,PRIM,PARTIDO REGIONAL INDEPENDIENTE MADRILEÑO,Regionalista derecha
101,PRT,PARTIDO REVOLUCIONARIO DE LOS TRABAJADORES,Izquierda
