Código,Siglas,Denominación,Clasificacion
000001,ABA,ALIANCA BALEAR,
000002,ADEC,ACCION DEMOCRATICA CIUDADANA,
000004,AFIT,AGRUPACIONES FAMILIARES INDEPENDIENTES TINERFEÑAS,
000005,ALAS,AGRUPACION LIBERAL AUTONOMISTA Y SOCIAL,
000006,AR,ACCION REPUBLICANA,
000007,AUN,ALIANZA POR LA UNIDAD NACIONAL,
000009,BNG,BLOQUE NACIONALISTA GALEGO,
000010,CC,COALICION CANARIA,
000011,CCV,CENTRISTAS DE LA COMUNIDAD VALENCIANA,
000012,CDN,CONVERGENCIA DEMOCRATAS DE NAVARRA,
000013,CEX,COALICION EXTREMEÑA,
000014,CHA,CHUNTA ARAGONESISTA,
000015,CIU,CONVERGENCIA I UNIO,
000018,CR,COALICIO REPUBLICANA,
000019,CR,COALICION REPUBLICANA,
000020,DSA,DINAMICA SOCIAL ARAGONESA,
000021,EA,EUSKO ALKARTASUNA,
000022,EAJ-PNV,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,
000024,ENV,ESQUERRA NACIONALISTA VALENCIANA,
000025,ERC,ESQUERRA REPUBLICANA DE CATALUNYA,
000026,EU-EG,ESQUERDA UNIDA-ESQUERDA GALEGA,
000027,EUPV,ESQUERRA UNIDA DEL PAIS VALENCIA,
000028,EV,ELS VERDS DEL PAIS VALENCIA,
000029,EV,ELS VERDS-LOS VERDES,
000030,EVE-AEC,ELS VERDS EUROPEUS-ALTER. ECOLOGISTA DE CATALUNYA,
000031,EVIB,ELS VERDS DE LES ILLES BALEARS,
000032,FEA,FALANGE ESPAÑOLA AUTENTICA,
000033,FEI,FALANGE ESPAÑOLA INDEPENDIENTE,
000034,FPG,FRENTE POPULAR GALEGA,
000035,FREPIC,FRENTE POPULAR POR LA INDEPENDENCIA DE CANARIAS,
000036,HB,HERRI BATASUNA,
000037,IC-EV,INICIATIVA PER CATALUNYA-ELS VERDS,
000038,ICV-GORORDO,INIC.CIUDADANA VASCA/EUSKAL HURITARREN EGITEKOAK,
000040,IU,ESQUERRA UNIDA DE LES ILLES BALEARS,
000041,IU,IZQUIERDA UNIDA,
000042,IU,IZQUIERDA UNIDA DE ARAGON,
000043,IU,IZQUIERDA UNIDA-LA RIOJA,
000044,IU-CL,IZQUIERDA UNIDA DE CASTILLA Y LEON,
000045,IU-EB,IZQUIERDA UNIDA-EZKER BATUA,
000046,IU-EB,IZQUIERDA UNIDA-EZKER BATUA DE NAVARRA,
000047,IU-ICAM,IZQUIERDA UNIDA-IZQUIERDA DE CASTILLA-LA MANCHA,
000048,IU-LV,IZQUIERDA UNIDA-LOS VERDES REGION DE MURCIA,
000049,IU-LV,IZQUIERDA UNIDA-LOS VERDES-COMPROMISO POR EXTRM.,
000050,IUC,IZQUIERDA UNIDA CANARIA,
000051,IULV-CA,IZQUIERDA UNIDA LOS VERDES-CONVOC. POR ANDALUCIA,
000052,IZEGZAWEN,IZQUIERDA VERDE DE LAS ISLAS CANARIAS,
000053,LAE,LIGA AUTONOMA ESPAÑOLA,
000054,LG,PARTIDO LA GENTE,
000055,LOS VERDES,LOS VERDES DE GALICIA,
000056,LV,LOS VERDES DE MADRID,
000057,LV-GV,LOS VERDES-GRUPO VERDE,
000058,LVE,LOS VERDES EUROPEOS,
000060,LVE,LOS VERDES EUROPEOS-EUSKAL HERRIKO BERDEAK,
000063,LVE,LOS VERDES EUROPEOS-LOS VERDES ALTERNATIVOS,
000064,N,ESTADO NACIONAL EUROPEO,
000065,NA,NACION ANDALUZA,
000066,NR,NUEVA REGION,
000067,P.RIOJANO,PARTIDO RIOJANO,
000068,PA,PARTIDO ANDALUCISTA,
000069,PAE,PARTIDO DE LOS TRABAJADORES AUTONOMOS DE ESPAÑA,
000071,PAS,PARTIU ASTURIANISTA,
000072,PB,PARTIDO DE EL BIERZO,
000073,PCN,PARTIDO CANARIO NACIONALISTA,
000074,PCPA,PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,
000075,PCPC,PARTIDO COMUNISTA DEL PUEBLO CANARIO,
000076,PCPE,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,
000077,PCPE,PARTIT COMUNISTA DELS POBLES D'ESPANYA,
000080,PEC,PARTIT ECOLOGISTA DE CATALUNYA,
000081,PH,PARTIDO HUMANISTA,
000082,PICC,PLATAFORMA INDEPENDENT CIUTADANA DE CATALUNYA,
000083,PICC,PLATAFORMA INDEPENDIENTE CIUDADANA DE CATALUÑA,
000085,PIZ,PARTIDO INTERZAMORANO,
000087,PNM,PARTIDO NACIONALISTA DE MELILLA,
000089,POR,PARTIDO OBRERO REVOLUCIONARIO,
000090,POR,PARTIT OBRER REVOLUCIONARI,
000091,PP,PARTIDO POPULAR,
000092,PP,PARTIDO POPULAR/PARTIT POPULAR,
000093,PP,PARTIT POPULAR,
000094,PP-PAR,PARTIDO POPULAR-PARTIDO ARAGONES,
000096,PRCM,PARTIDO REGIONALISTA DE CASTILLA-LA MANCHA,
000098,PREPAL,"SALAMANCA, ZAMORA, LEON",
000099,PRGU,PARTIDO REGIONALISTA DE GUADALAJARA,
000100,PRIM,PARTIDO REGIONAL INDEPENDIENTE MADRILEÑO,
000101,PRT,PARTIDO REVOLUCIONARIO DE LOS TRABAJADORES,
000102,PRT,PARTIT REVOLUCIONARI DELS TREBALLADORS,
000103,PRV,PARTIDO ROJI-VERDE,
000104,PSC-PSOE,PARTIT DELS SOCIALISTES DE CATALUNYA,
000105,PSE-EE/PSOE,PARTIDO SOCIALISTA DE EUSKADI-EUSKADIKO EZKERRA,
000106,PSG-PSOE,PARTIDO DOS SOCIALISTAS DE GALICIA-PSOE,
000107,PSM-ENE,COALICION ELECTORAL PSM-ENE,
000108,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,
000109,PSOE-A,PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,
000110,PSPC,PARTIDO SOCIALISTA DEL PUEBLO DE CEUTA,
000111,SIEX,SOCIALISTAS INDEPENDIENTES DE EXTREMADURA,
000112,SOS,SOS NATURALEZA,
000113,TC-PNC,TIERRA COMUNERA-PARTIDO NACIONALISTA CASTELLANO,
000115,UAD,UNIDAD ANDALUZA DEMOCRATICA,
000116,UC,UNION CENTRISTA,
000118,UM,UNIO MALLORQUINA,
000119,UPL,UNION DEL PUEBLO LEONES,
000120,UPN-PP,UNION DEL PUEBLO NAVARRO-PARTIDO POPULAR,
000121,UPRA,UNION PROVINCIAL ALICANTINA,
000122,UPV-BN,UNITAT DEL POBLE VALENCIA-BLOC NACIONALISTA,
000123,URCL,UNIDAD REGIONALISTA DE CASTILLA Y LEON,
000124,UV,UNIO VALENCIANA,
000125,VDPA,VOZ DEL PUEBLO ANDALUZ,
000126,VE-EHB,VERDES EUROPEOS-EUSKAL HERRIKO BERDEAK,
000127,VE-VG,LOS VERDES EUROPEOS-OS VERDES DE GALICIA,
000128,VERDES,LOS VERDES DE ASTURIES,
000129,VG,OS VERDES DE GALICIA,
000131,PRT,PARTIDO REVOLUCIONARIO DE LOS TRABAJADORES,
000132,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,
